screen_or_class,file,line,control_type,visible_text,visible_icon,callback,function,enable_disable,input_validation,loading_state,success_state,error_state,empty_state,repeat_press_guard,idempotent,duplicate_send_risk,duplicate_control,empty_or_placeholder_callback,reachable,verification_status
_PasswordResetOtpScreenState,lib/screens/auth/password_reset_otp_screen.dart,130,SmartTextField,,password_rounded,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_PasswordResetOtpScreenState,lib/screens/auth/password_reset_otp_screen.dart,138,SmartTextField,,lock_outline_rounded,onPressed=() => setState(() => _obscureNewPassword = !_obscureNewPassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_PasswordResetOtpScreenState,lib/screens/auth/password_reset_otp_screen.dart,144,IconButton,,visibility_off,onPressed=() => setState(() => _obscureNewPassword = !_obscureNewPassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_PasswordResetOtpScreenState,lib/screens/auth/password_reset_otp_screen.dart,154,SmartTextField,,verified_rounded,onPressed=() => setState(() => _obscureConfirmPassword = !_obscureConfirmPassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_PasswordResetOtpScreenState,lib/screens/auth/password_reset_otp_screen.dart,160,IconButton,,visibility_off,onPressed=() => setState(() => _obscureConfirmPassword = !_obscureConfirmPassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SignupScreenState,lib/screens/auth/signup_screen.dart,130,SmartTextField,,person_outline_rounded,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SignupScreenState,lib/screens/auth/signup_screen.dart,138,SmartTextField,,alternate_email_rounded,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SignupScreenState,lib/screens/auth/signup_screen.dart,146,SmartTextField,,lock_outline_rounded,onPressed=() => setState(() => _obscurePassword = !_obscurePassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SignupScreenState,lib/screens/auth/signup_screen.dart,152,IconButton,,visibility_off,onPressed=() => setState(() => _obscurePassword = !_obscurePassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SignupScreenState,lib/screens/auth/signup_screen.dart,162,SmartTextField,,verified_user_rounded,onPressed=() => setState(() => _obscureConfirmPassword = !_obscureConfirmPassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SignupScreenState,lib/screens/auth/signup_screen.dart,168,IconButton,,visibility_off,onPressed=() => setState(() => _obscureConfirmPassword = !_obscureConfirmPassword),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SignupScreenState,lib/screens/auth/signup_screen.dart,219,TextButton,,,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
BrandSettingsScreen,lib/screens/brand_settings_screen.dart,112,IconButton,,arrow_back_ios_new,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
BrandSettingsScreen,lib/screens/brand_settings_screen.dart,129,GestureDetector,,store_rounded,onTap=controller.pickLogo,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
BrandSettingsScreen,lib/screens/brand_settings_screen.dart,193,ElevatedButton,حفظ,,onPressed=controller.saveSettings,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
BrandSettingsScreen,lib/screens/brand_settings_screen.dart,228,TextField,,,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,65,IconButton,,close_rounded,onPressed=ctrl.deselectAll,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,76,GestureDetector,,check_box_rounded,onTap=ctrl.toggleSelectAll,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,122,IconButton,,cloud_sync_rounded,onPressed=() => ctrl.syncSelectedProducts(selectedOnly: true),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,127,IconButton,,file_download_rounded,onPressed=() => _showExportDialog(ctrl,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,132,IconButton,,inventory_2_rounded,onPressed=() => _showBulkQuantityForSelectedSheet(ctrl),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,137,IconButton,,auto_fix_high_rounded,onPressed=() => _showSmartToolsSheet(ctrl),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,142,IconButton,,delete_sweep_rounded,onPressed=() => _confirmDeleteSelected(ctrl),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,175,IconButton,,auto_fix_high_rounded,onPressed=() => _showSmartToolsSheet(ctrl),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,180,IconButton,,chat_bubble_outline,onPressed=() => Get.to(() => const WhatsAppMediaSyncScreen()),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,211,IconButton,,cloud_upload_rounded,onPressed=ctrl.syncToMeta,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,324,IconButton,,copy_rounded,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,present,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,453,TextField,,search_rounded,onChanged=(v) => ctrl.searchQuery.value = v,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,494,GestureDetector,ترتيب: $currentSort,sort_rounded,onTap=() => _showSortBottomSheet(ctrl),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,523,GestureDetector,,refresh_rounded,onTap=ctrl.resetAllFilters,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,553,GestureDetector,$cols,,onTap=() => ctrl.updateGridColumns(cols),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,667,InkWell,ترتيب: $sortMode,swap_vert_rounded,onTap=ctrl.toggleCategorySortMode,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,697,InkWell,عرض الكل,grid_view_rounded,onTap=() => _showAllCategoriesSheet(ctrl),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,745,GestureDetector,$count منتج,,onTap=() => ctrl.selectedCategory.value = cat,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,823,IconButton,,close,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,873,InkWell,$count منتج,check_circle_rounded,onTap=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,959,GestureDetector,,,onTap=() => ctrl.selectedMediaFilter.value = 'بدون صورة',راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,968,GestureDetector,,,onTap=() => ctrl.selectedMediaFilter.value = 'بدون فيديو',راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1001,GestureDetector,,,onTap=() => ctrl.selectedAvailabilityFilter.value = opt,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1052,GestureDetector,,,onTap=() => ctrl.selectedMediaFilter.value = opt,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1120,IconButton,,close,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1129,DropdownButtonFormField,,,onChanged=(v) => setState(() => selectedCat = v ?? 'الكل'),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1148,TextField,,,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1169,ElevatedButton,,add,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1186,ElevatedButton,,remove,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1415,IconButton,,close,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1522,IconButton,,close,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1534,TextField,,,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1555,ElevatedButton,,add,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1572,ElevatedButton,,remove,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,1664,IconButton,,close,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,2010,IconButton,,close,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,2260,IconButton,,close,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,2275,TextField,,,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,2309,GestureDetector,مقطع فيديو,videocam_rounded,onTap=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,2351,GestureDetector,,broken_image,onTap=() {,راجع callback عند file:line,not statically proven,manual/unknown,present,not proven,present,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,2423,TextButton,إلغاء 🚫,,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ProductCatalogScreen,lib/screens/catalog/product_catalog_screen.dart,2428,ElevatedButton,تأكيد ونشر 🚀,,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ActionChip,lib/screens/catalog/product_catalog_screen.dart,2587,GestureDetector,,,onTap=isLoading.value ? null : onTap,راجع callback عند file:line,conditional/null,manual/unknown,present,not proven,not proven,not proven,possible,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SmartToolTile,lib/screens/catalog/product_catalog_screen.dart,2692,InkWell,,arrow_forward_ios_rounded,onTap=onTap,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SimilarProductsMergeSheetState,lib/screens/catalog/product_catalog_screen.dart,2861,TextButton,إلغاء,,onPressed=() => Get.back(result: false),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SimilarProductsMergeSheetState,lib/screens/catalog/product_catalog_screen.dart,2865,ElevatedButton,دمج الكل الآن,,onPressed=() => Get.back(result: true),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SimilarProductsMergeSheetState,lib/screens/catalog/product_catalog_screen.dart,2959,IconButton,,close_rounded,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SimilarProductsMergeSheetState,lib/screens/catalog/product_catalog_screen.dart,2999,Slider,,,onChanged=(val) {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_SimilarProductsMergeSheetState,lib/screens/catalog/product_catalog_screen.dart,3129,InkWell,الأساسي,radio_button_checked_rounded,onTap=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,177,DropdownButtonFormField,,,onChanged=(val) {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,362,ElevatedButton,,add,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,380,ElevatedButton,,remove,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,740,GestureDetector,,add_a_photo_rounded,onTap=ctrl.pickImages,راجع callback عند file:line,not statically proven,manual/unknown,present,not proven,not proven,not proven,possible,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,832,GestureDetector,,close,onTap=() => ctrl.removeImage(i),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,894,GestureDetector,,play_circle_fill_rounded,onTap=ctrl.pickVideo,راجع callback عند file:line,not statically proven,manual/unknown,present,not proven,not proven,not proven,possible,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,1003,GestureDetector,تغيير,,onTap=ctrl.pickVideo,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,1023,GestureDetector,إزالة,,onTap=ctrl.removeVideo,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,1442,TextButton,إلغاء 🚫,,onPressed=() async {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,1456,TextButton,إنشاء جديد ➕,,onPressed=() async {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,present,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,1477,ElevatedButton,دمج الصور 🔗,,onPressed=() async {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,1493,ElevatedButton,تحديث الحقول ✏️,,onPressed=() async {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,1584,TextButton,حسناً، سأعدّل الوصف,,onPressed=() => Get.back(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_ProductFormScreenState,lib/screens/catalog/product_form_screen.dart,1877,TextFormField,,,,راجع callback عند file:line,not statically proven,validator,not proven,not proven,present,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
